"id" "classe" "sexo" "quantidade" "valor_gasto"
"1" 1 "A" "F" 1 8.26
"2" 2 "A" "M" 1 7.25
"3" 3 "A" "F" 1 7.26
"4" 4 "A" "M" 1 8.79
"5" 5 "A" "F" 1 5.78
"6" 6 "A" "M" 1 6.76
"7" 7 "A" "F" 2 5.94
"8" 8 "A" "M" 1 7.42
"9" 9 "A" "F" 3 6.73
"10" 10 "A" "M" 1 6.37
"11" 11 "A" "F" 1 6.77
"12" 12 "A" "M" 2 8.18
"13" 13 "A" "F" 3 6.73
"14" 14 "A" "M" 2 7.53
"15" 15 "A" "F" 2 5.23
"16" 16 "A" "M" 2 6.51
"17" 17 "A" "F" 1 8.41
"18" 18 "A" "M" 1 5.92
"19" 19 "A" "F" 2 7.29
"20" 20 "A" "M" 2 6.79
"21" 21 "B" "F" 1 2.64
"22" 22 "B" "M" 1 1.7
"23" 23 "B" "F" 1 2.13
"24" 24 "B" "M" 1 4.05
"25" 25 "B" "F" 2 2.85
"26" 26 "B" "M" 1 4.02
"27" 27 "B" "F" 1 2.28
"28" 28 "B" "M" 3 2.22
"29" 29 "B" "F" 1 2.38
"30" 30 "B" "M" 1 4.61
"31" 31 "B" "F" 1 2.41
"32" 32 "B" "M" 2 2.47
"33" 33 "B" "F" 1 3.6
"34" 34 "B" "M" 1 1.73
"35" 35 "B" "F" 1 2.8
"36" 36 "B" "M" 2 3.46
"37" 37 "B" "F" 1 2.07
"38" 38 "B" "M" 1 5.73
"39" 39 "B" "F" 1 3.35
"40" 40 "B" "M" 1 2.36
